,portfolio
2012-05-04,1238634.092033302
2012-05-07,1241333.1548484908
2012-05-08,1238308.2095893836
2012-05-09,1235256.8870205649
2012-05-10,1235961.635201562
2012-05-11,1235512.0890180552
2012-05-14,1229650.2360780677
2012-05-15,1227303.1459742072
2012-05-16,1223945.2243106083
2012-05-17,1216816.1847237677
2012-05-18,1212317.7189427642
2012-05-21,1219583.3297419345
2012-05-22,1219279.8847697421
2012-05-23,1220054.7674069724
2012-05-24,1220302.2403639453
2012-05-25,1220100.2865515384
2012-05-29,1222552.1090166264
2012-05-30,1221947.101328667
2012-05-31,1224152.7866123181
2012-06-01,1222383.3661523259
2012-06-04,1220823.9065649956
2012-06-05,1222873.0418530013
2012-06-06,1229610.1050362575
2012-06-07,1230740.1523529585
2012-06-08,1232978.5259287714
2012-06-11,1229631.1418164938
2012-06-12,1231685.5720891026
2012-06-13,1230689.5109639138
2012-06-14,1233117.257643905
2012-06-15,1234716.7731337755
2012-06-18,1235758.7611542924
2012-06-19,1237110.4492251906
2012-06-20,1236999.9207511148
2012-06-21,1233518.7593697326
2012-06-22,1234290.4876669063
2012-06-25,1232505.5391096193
2012-06-26,1233321.4142114639
2012-06-27,1234527.5402046088
2012-06-28,1235327.2885663023
2012-06-29,1239803.0541926622
2012-07-02,1241093.3029784046
2012-07-03,1242446.8088428618
2012-07-05,1241137.8650971763
2012-07-06,1240838.745728913
2012-07-09,1240987.8377942918
2012-07-10,1238661.6160096738
2012-07-11,1238773.6701290987
2012-07-12,1237821.9060605313
2012-07-13,1243793.2989039856
2012-07-16,1243776.8471615966
2012-07-17,1245498.6548209558
2012-07-18,1245274.9612767522
2012-07-19,1244197.5025670761
2012-07-20,1243062.0280854548
2012-07-23,1241968.7376250555
2012-07-24,1242043.4162747
2012-07-25,1242768.2149713563
2012-07-26,1244822.7902806664
2012-07-27,1244098.5838790925
2012-07-30,1245263.1701540921
2012-07-31,1244857.520443114
2012-08-01,1244486.087831795
2012-08-02,1245647.4019646996
2012-08-03,1244697.7057071212
2012-08-06,1244885.650794497
2012-08-07,1242759.4185561624
2012-08-08,1241743.0074936699
2012-08-09,1242567.9098697845
2012-08-10,1242588.1728842221
2012-08-13,1241889.3509028773
2012-08-14,1241107.8659227623
2012-08-15,1242180.1209485896
2012-08-16,1244439.914682608
2012-08-17,1245778.44198875
2012-08-20,1245951.1024010773
2012-08-21,1246816.946645288
2012-08-22,1249478.0693691813
2012-08-23,1245723.6125660944
2012-08-24,1248219.3890625846
2012-08-27,1248218.7423765853
2012-08-28,1249827.8810575258
2012-08-29,1247750.880202572
2012-08-30,1243735.368258676
2012-08-31,1253951.0603050434
2012-09-04,1254889.527832591
2012-09-05,1253344.5075242573
2012-09-06,1263208.582493245
2012-09-07,1268274.5466167177
2012-09-10,1262855.9690846822
2012-09-11,1265386.3682332754
2012-09-12,1266986.6103652632
2012-09-13,1275979.668349015
