,QQQ,VEU,STC,AlRajhi,BonyanREIT,AlinmaHospitalityREIT
2021-01-31,0.14678971564975515,0.16248588970118433,0.2184582671225148,0.18441761945545368,0.28784850807109214,0.0
2021-02-28,0.1472997978951012,0.16256800317665385,0.21815763341584488,0.17979678347905798,0.29217778203334216,0.0
2021-03-31,0.14620637789622623,0.16475455142156165,0.21398650959745444,0.17439104838308953,0.3006615127016682,0.0
2021-04-30,0.1461748954123477,0.16319961216344375,0.21772207981970898,0.17219269221922498,0.30071072038527447,0.0
2021-05-31,0.14625812889453685,0.16231614150588042,0.22356459748783195,0.17383392244864032,0.2940272096631104,0.0
2021-06-30,0.14663997222887035,0.16212902543092644,0.21886865817345313,0.17487482365870588,0.2974875205080442,0.0
2021-07-30,0.14606183757000485,0.16072274031493566,0.21853871344356354,0.1765277236419618,0.29814898502953424,0.0
2021-08-31,0.14451355527407897,0.15844974260016242,0.215787805433429,0.1745072784825696,0.30674161820976004,0.0
2021-09-30,0.14397509054089755,0.15790945174598114,0.21587854017654415,0.17440874640796375,0.3078281711286134,0.0
2021-10-31,0.13870082427493027,0.15376550171625655,0.21710188064688882,0.18475211641400377,0.30567967694792064,0.0
2021-11-30,0.16631025293610774,0.2019928856639992,0.1941639044835365,0.16860194265732664,0.26893101425903004,0.0
2021-12-31,0.1617431098823712,0.2004993930340178,0.1801167883107546,0.1723474923798213,0.2852932163930352,0.0
2022-01-31,0.15621727433097016,0.21219593782684631,0.17843866874422334,0.1700505081065031,0.2830976109914571,0.0
2022-02-28,0.14291738760280845,0.20044184223109823,0.16002881623197615,0.14661195393411725,0.35,0.0
2022-03-31,0.14311623395065295,0.19238916491214683,0.16431005334128307,0.1515627987262554,0.34862174906966176,0.0
2022-04-29,0.14241121227076992,0.19374027226443927,0.16347786765751568,0.15037064780727513,0.35,0.0
2022-05-31,0.14072738653876793,0.19784734238368853,0.1686405067081459,0.1427847643693977,0.35,0.0
2022-06-30,0.14025128195491118,0.20002282898650936,0.16842721677212807,0.14129867228645146,0.35,0.0
2022-07-31,0.13922188135712485,0.20276219228793266,0.17651225955974006,0.1412621967312411,0.3402414700639614,0.0
2022-08-31,0.13494074670028913,0.20108905397873736,0.1749770681163747,0.13899313120459894,0.35,0.0
2022-09-30,0.134761523393045,0.19789934665363834,0.17950459151469747,0.13783453843861931,0.35,0.0
2022-10-31,0.1325043547886554,0.19177819176494867,0.18270835740391841,0.14300909604247758,0.35,0.0
2022-11-30,0.12917222318854787,0.18248110483554547,0.18903939484925408,0.1493072771266527,0.35,0.0
2022-12-30,0.12920152188755707,0.18498680830203337,0.18896491580918937,0.14684675400122027,0.35,0.0
2023-01-31,0.12567303340780045,0.18199806531190438,0.19569283691022352,0.14663606437007176,0.35,0.0
2023-02-28,0.12418480918446065,0.18385616051734152,0.19506141816529815,0.14689761213289976,0.35,0.0
2023-03-31,0.1241676163672929,0.18218703415995402,0.19644668299748805,0.1471986664752651,0.35,0.0
2023-04-30,0.12411455384583277,0.18215036826183276,0.19726713905325172,0.14646793883908288,0.35,0.0
2023-05-31,0.12432079355630908,0.1827738995822903,0.19706180039449733,0.14584350646690342,0.35,0.0
2023-06-30,0.12422718454818245,0.18114680557461293,0.19731110175547378,0.14731490812173095,0.35,0.0
2023-07-31,0.1222966296100605,0.17748311676144446,0.19857483320225922,0.15164542042623594,0.35,0.0
2023-08-31,0.12260656505155985,0.17574569770147383,0.19762181821929647,0.1540259190276699,0.35,0.0
