,Actual_Return,Prediction,Position_Binary (t=0),Position_Binary (t=opt),Position_Scaled,Position_Adaptive,Equity_Binary (t=0),Equity_Binary (t=opt),Equity_Scaled,Equity_Adaptive,BnH_Equity
2022-04-01,-1.1812,0.4756,1.0000,1.0000,0.9512,1.0000,4.9355,2.9776,2.8005,3.8957,5.0323
2022-04-08,-2.1851,0.4071,1.0000,1.0000,0.8142,1.0000,4.8276,2.9125,2.7506,3.8105,4.9224
2022-04-15,-2.6839,0.3920,1.0000,1.0000,0.7841,1.0000,4.6980,2.8344,2.6927,3.7083,4.7903
2022-04-22,-3.2955,0.4476,1.0000,1.0000,0.8951,1.0000,4.5432,2.7410,2.6132,3.5861,4.6324
2022-04-29,-0.1602,0.3153,1.0000,1.0000,0.6305,0.0000,4.5359,2.7366,2.6105,3.5853,4.6250
2022-05-06,-2.3387,0.3794,1.0000,1.0000,0.7588,0.0000,4.4299,2.6726,2.5641,3.5853,4.5168
2022-05-13,-3.0096,0.3186,1.0000,1.0000,0.6373,0.0000,4.2965,2.5921,2.5148,3.5853,4.3809
2022-05-20,6.5780,0.5297,1.0000,1.0000,1.0000,1.0000,4.5792,2.7627,2.6801,3.8205,4.6691
2022-05-27,-1.1366,0.3345,1.0000,1.0000,0.6689,0.0000,4.5271,2.7313,2.6595,3.8197,4.6160
2022-06-03,-5.0519,0.4446,1.0000,1.0000,0.8891,0.0000,4.2984,2.5933,2.5399,3.8197,4.3828
2022-06-10,-5.7361,0.1764,1.0000,0.0000,0.3528,0.0000,4.0518,2.5928,2.4883,3.8197,4.1314
2022-06-17,6.6200,0.5254,1.0000,1.0000,1.0000,1.0000,4.3201,2.7639,2.6526,4.0718,4.4049
2022-06-24,-2.2662,0.1861,1.0000,0.0000,0.3722,0.0000,4.2222,2.7633,2.6299,4.0710,4.3051
2022-07-01,1.9489,0.2671,1.0000,0.0000,0.5343,0.0000,4.3045,2.7633,2.6572,4.0710,4.3890
2022-07-08,-0.9108,0.5114,1.0000,1.0000,1.0000,1.0000,4.2653,2.7376,2.6328,4.0331,4.3490
2022-07-15,2.5861,0.4458,1.0000,1.0000,0.8917,0.0000,4.3756,2.8084,2.6934,4.0323,4.4615
2022-07-22,4.2775,0.2321,1.0000,0.0000,0.4642,0.0000,4.5627,2.8078,2.7467,4.0323,4.6523
2022-07-29,0.3593,0.1099,1.0000,0.0000,0.2199,0.0000,4.5791,2.8078,2.7487,4.0323,4.6690
2022-08-05,3.2965,0.0341,1.0000,0.0000,0.0682,0.0000,4.7301,2.8078,2.7548,4.0323,4.8229
2022-08-12,-1.1613,-0.1855,0.0000,0.0000,0.0000,0.0000,4.7291,2.8078,2.7548,4.0323,4.7669
2022-08-19,-3.9868,-0.1365,0.0000,0.0000,0.0000,0.0000,4.7291,2.8078,2.7548,4.0323,4.5769
2022-08-26,-3.2247,-0.2107,0.0000,0.0000,0.0000,0.0000,4.7291,2.8078,2.7548,4.0323,4.4293
2022-09-02,3.6610,-0.2160,0.0000,0.0000,0.0000,0.0000,4.7291,2.8078,2.7548,4.0323,4.5914
2022-09-09,-4.7851,-0.0744,0.0000,0.0000,0.0000,0.0000,4.7291,2.8078,2.7548,4.0323,4.3717
2022-09-16,-4.5674,0.2964,1.0000,1.0000,0.5927,0.0000,4.5122,2.6790,2.6799,4.0323,4.1721
2022-09-23,-2.9270,-0.3006,0.0000,0.0000,0.0000,0.0000,4.5113,2.6785,2.6796,4.0323,4.0499
2022-09-30,1.5706,-0.3872,0.0000,0.0000,0.0000,0.0000,4.5113,2.6785,2.6796,4.0323,4.1136
